iteration = 168:01100000111000111110100111010011010101101110111100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.909469, P = 1
iteration = 169:01100000111001111110100111010011010101101110111100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.436569, P = 1
iteration = 170:01100000111001111110100111010011010101101110011100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.192131, P = 1
iteration = 171:01100000111001111110100101010011010101101110011100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.313631, P = 1
iteration = 172:01100000111001110110100101010011010101101110011100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.640999, P = 1
iteration = 173:00100000111001110110100101010011010101101110011100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.423347, P = 1
iteration = 174:00100000011001110110100101010011010101101110011100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.135561, P = 1
iteration = 175:00110000011001110110100101010011010101101110011100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.583351, P = 1
iteration = 176:00110000011000110110100101010011010101101110011100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.229789, P = 1
iteration = 177:00110000011000110110100101010011010101101110111100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.777471, P = 1
iteration = 178:00110000011001110110100101010011010101101110111100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.406508, P = 1
iteration = 179:00110000011001110110101101010011010101101110111100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.898396, P = 1
iteration = 180:00110000011001110110100101010011010101101110111100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.236568, P = 1
iteration = 181:00110000011001110110100101010011010101101110011100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.947074, P = 1
iteration = 182:00110000011001110110100101110011010101101110011100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.753602, P = 1
iteration = 183:00110000011001110110100101110011010111101110011100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.941893, P = 1
iteration = 184:00110000111001110110100101110011010111101110011100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.201717, P = 1
iteration = 185:00110000111001110110000101110011010111101110011100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.625862, P = 1
iteration = 186:00100000111001110110000101110011010111101110011100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.225774, P = 1
iteration = 187:00100000111001110110000101110011010110101110011100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.586762, P = 1
iteration = 188:00100000111001110110000101110011010110111110011100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.789007, P = 1
iteration = 189:10100000111001110110000101110011010110111110011100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.0223447, P = 1
iteration = 190:10100000111001110110000101110011000110111110011100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.0709302, P = 1
iteration = 191:10100000111001110110000101110011000110111110001100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.934336, P = 1
iteration = 192:10100000111001110110000101110011010110111110001100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.730687, P = 1
iteration = 193:10100000111011110110000101110011010110111110001100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.607498, P = 1
iteration = 194:10100000111011110110000101110011010110111010001100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.759765, P = 1
iteration = 195:10100000111011110100000101110011010110111010001100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.142017, P = 1
iteration = 196:10100000111011110100010101110011010110111010001100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.106691, P = 1
iteration = 197:10100000111011110101010101110011010110111010001100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.188802, P = 1
iteration = 198:10100000111011110101010101100011010110111010001100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.749995, P = 1
iteration = 199:10100000111010110101010101100011010110111010001100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.523364, P = 1
iteration = 200:10100001111010110101010101100011010110111010001100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.509156, P = 1
iteration = 201:10100001111010110101010101100011010110111010101100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.34556, P = 1
iteration = 202:10100001111010110101010101100001010110111010101100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.0887199, P = 1
iteration = 203:10100001111010110101010101100001110110111010101100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.601703, P = 1
iteration = 204:10100001111010110101010111100001110110111010101100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.942431, P = 1
iteration = 205:10100001111010110101000111100001110110111010101100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.802296, P = 1
iteration = 206:10100001111010110101000111100001110110011010101100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.229744, P = 1
iteration = 207:10100000111010110101000111100001110110011010101100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.31408, P = 1
iteration = 208:10100000011010110101000111100001110110011010101100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.448439, P = 1
iteration = 209:10100000011010110111000111100001110110011010101100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.0976257, P = 1
iteration = 210:10100001011010110111000111100001110110011010101100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.427473, P = 1
iteration = 211:10100001011010010111000111100001110110011010101100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.204538, P = 1
iteration = 212:10110001011010010111000111100001110110011010101100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.328734, P = 1
iteration = 213:10110001011010010111000111100011110110011010101100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.394457, P = 1
iteration = 214:10110001011010010111000111100011110110011110101100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.524034, P = 1
iteration = 215:10110001011010010111100111100011110110011110101100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.0304409, P = 1
iteration = 216:10110001011010010111100111101011110110011110101100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.0670469, P = 1
iteration = 217:10110001011000010111100111101011110110011110101100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.768121, P = 1
iteration = 218:10110001011000010111100111101011110110011110101101, f(current_state) = -2147483648, rand()/RAND_MAX = 0.308323, P = 1
iteration = 219:10110001011000010111100111101011100110011110101101, f(current_state) = -2147483648, rand()/RAND_MAX = 0.0334941, P = 1
iteration = 220:10110001011000010111100111101010100110011110101101, f(current_state) = -2147483648, rand()/RAND_MAX = 0.993872, P = 1
iteration = 221:10110001011000010111100111101010101110011110101101, f(current_state) = -2147483648, rand()/RAND_MAX = 0.264115, P = 1
iteration = 222:10110001011000010111100110101010101110011110101101, f(current_state) = -2147483648, rand()/RAND_MAX = 0.572422, P = 1
iteration = 223:10110001011000010111100110101010101110011010101101, f(current_state) = -2147483648, rand()/RAND_MAX = 0.184047, P = 1
iteration = 224:10110001011000010011100110101010101110011010101101, f(current_state) = -2147483648, rand()/RAND_MAX = 0.499774, P = 1
iteration = 225:10110001011000010011100110101010101111011010101101, f(current_state) = -2147483648, rand()/RAND_MAX = 0.229066, P = 1
iteration = 226:11110001011000010011100110101010101111011010101101, f(current_state) = -2147483648, rand()/RAND_MAX = 0.521316, P = 1
iteration = 227:11110101011000010011100110101010101111011010101101, f(current_state) = -2147483648, rand()/RAND_MAX = 0.461411, P = 1
iteration = 228:11110101011000010011100110101010101011011010101101, f(current_state) = -2147483648, rand()/RAND_MAX = 0.826943, P = 1
iteration = 229:11110101011000010011100110101010101011001010101101, f(current_state) = -2147483648, rand()/RAND_MAX = 0.928778, P = 1
